productName,productDescription,discountCategory,discountAmount,discountPrice,productPrice,imageURL
ZenFlex Stretching Strap,Improves flexibility and range of motion,ENABLED,10,11.655,12.95,assets/stretching_strap.jpg
AquaZoom Waterproof Camera,Capture underwater moments with ease,DISABLED,0,79.99,79.99,assets/waterproof_camera.jpg
PulseGlow LED Desk Lamp,Adjustable brightness for optimal lighting,ENABLED,15,25.4575,29.95,assets/desk_lamp.jpg
NebulaShade Beach Umbrella,Provides shade for a relaxing beach day,DISABLED,0,18.5,18.5,assets/beach_umbrella.jpg
QuantumSpark Smart Light Bulb,Smart LED bulb with customizable lighting,ENABLED,10,15.291,16.99,assets/light_bulb.jpg
ArcticBlast Cooling Towel,Instant cooling for workouts and outdoor activities,DISABLED,0,8.99,8.99,assets/cooling_towel.jpg
PulsePunch Fitness Gloves,Protective gloves for intense workouts,ENABLED,12,11,12.5,assets/fitness_gloves.jpg
MysticMist Humidifier,Ultrasonic humidifier for improved air quality,DISABLED,0,22.99,22.99,assets/humidifier.jpg
TitanGrip Phone Holder,Adjustable phone holder for hands-free use,ENABLED,8,7.3508,7.99,assets/phone_holder.jpg
SkyPod Drone Explorer,Compact drone for aerial exploration,DISABLED,0,89.99,89.99,assets/drone.jpg
SolarBurst Solar String Lights,Decorative solar-powered lights for outdoor use,ENABLED,15,14.4075,16.95,assets/solar_string_lights.jpg
DynamicPulse Wireless Earbuds,High-quality audio for an immersive experience,DISABLED,0,49.99,49.99,assets/wireless_earbuds.jpg
HydroGlow Facial Cleanser,Gentle and effective skincare,ENABLED,15,25.4575,29.95,assets/facial_cleanser.jpg
QuantumFlex Yoga Mat,Flexible and non-slip surface for yoga practice,DISABLED,0,32.5,32.5,assets/yoga_mat.jpg
SolarCharge Portable Charger,Solar-powered device charging on the go,ENABLED,20,31.96,39.95,assets/portable_charger.jpg
AquaPure Water Bottle,Leak-proof and BPA-free hydration companion,DISABLED,0,12.99,12.99,assets/water_bottle.jpg
FlexiSculpt Exercise Ball,Strengthen core muscles and improve posture,ENABLED,12,18.92,21.5,assets/exercise_ball.jpg
LunaLight Reading Lamp,Adjustable brightness for comfortable reading,DISABLED,0,19.99,19.99,assets/reading_lamp.jpg
